domain,item_id,generator,verifier,frame,actual_source,frame_matches_truth,strategy,candidate_is_correct,adjusted_candidate_is_correct,parsed_verdict,original_parsed_verdict,verdict_recovered_from_raw,strict_json_parse_fail,candidate_answer_letter,candidate_answer_text,candidate_answer_extraction_mode,candidate_answer_extraction_confidence,candidate_answer_ambiguous,candidate_answer_parsed,candidate_answer_parse_notes,prompt_tokens,completion_tokens,formatting_fail,tp,fp,tn,fn,adj_tp,adj_fp,adj_tn,adj_fn,latency,verbosity,overrode_passing_tests
science,science_0,qwen,qwen,self,self,True,direct,False,False,True,True,0,0,C,nucleosome histone complex,strict_final_answer,high,0,1,,513,6,0,0,1,0,0,0,1,0,0,3.1761169999372214,0,0
science,science_0,qwen,qwen,self,self,True,cot,False,False,True,True,0,0,C,nucleosome histone complex,strict_final_answer,high,0,1,,639,87,0,0,1,0,0,0,1,0,0,4.080137999961153,424,0
science,science_0,qwen,qwen,self,self,True,rubric,False,False,True,True,0,0,C,nucleosome histone complex,strict_final_answer,high,0,1,,639,62,0,0,1,0,0,0,1,0,0,3.55823149997741,309,0
science,science_0,qwen,qwen,other,self,False,direct,False,False,True,True,0,0,C,nucleosome histone complex,strict_final_answer,high,0,1,,514,6,0,0,1,0,0,0,1,0,0,2.3156767999753356,0,0
science,science_0,qwen,qwen,other,self,False,cot,False,False,True,True,0,0,C,nucleosome histone complex,strict_final_answer,high,0,1,,640,90,0,0,1,0,0,0,1,0,0,4.119792100042105,434,0
science,science_0,qwen,qwen,other,self,False,rubric,False,False,True,True,0,0,C,nucleosome histone complex,strict_final_answer,high,0,1,,640,93,0,0,1,0,0,0,1,0,0,4.76483279990498,455,0
science,science_0,qwen,qwen,neutral,self,,direct,False,False,True,True,0,0,C,nucleosome histone complex,strict_final_answer,high,0,1,,512,6,0,0,1,0,0,0,1,0,0,1.9091977999778464,0,0
science,science_0,qwen,qwen,neutral,self,,cot,False,False,True,True,0,0,C,nucleosome histone complex,strict_final_answer,high,0,1,,638,89,0,0,1,0,0,0,1,0,0,4.040176899987273,430,0
science,science_0,qwen,qwen,neutral,self,,rubric,False,False,True,True,0,0,C,nucleosome histone complex,strict_final_answer,high,0,1,,638,77,0,0,1,0,0,0,1,0,0,4.3505383000010625,386,0
science,science_0,deepseek,qwen,self,other,False,direct,True,True,True,True,0,0,D,pre-replication complex,strict_final_answer,high,0,1,,638,6,0,1,0,0,0,1,0,0,0,2.3025864000665024,0,0
science,science_0,deepseek,qwen,self,other,False,cot,True,True,True,True,0,0,D,pre-replication complex,strict_final_answer,high,0,1,,764,51,0,1,0,0,0,1,0,0,0,2.154020999907516,231,0
