verifier,frame,actual_source,Total,TP,FP,TN,FN,Valid,Accuracy,FPR
deepseek,other,other,90,37,9,42,2,90,0.8777777777777778,0.17647058823529413
deepseek,other,self,30,21,6,3,0,30,0.8,0.6666666666666666
deepseek,self,other,90,38,9,42,1,90,0.8888888888888888,0.17647058823529413
deepseek,self,self,30,20,2,7,1,30,0.9,0.2222222222222222
llama,other,other,90,41,5,37,7,90,0.8666666666666667,0.11904761904761904
llama,other,self,30,9,5,13,3,30,0.7333333333333333,0.2777777777777778
llama,self,other,90,42,3,39,6,90,0.9,0.07142857142857142
llama,self,self,30,9,4,14,3,30,0.7666666666666667,0.2222222222222222
mistral,other,other,90,33,5,37,15,90,0.7777777777777778,0.11904761904761904
mistral,other,self,30,9,0,18,3,30,0.9,0.0
mistral,self,other,90,33,2,39,15,89,0.8089887640449438,0.04878048780487805
mistral,self,self,30,10,1,17,2,30,0.9,0.05555555555555555
qwen,other,other,90,45,9,36,0,90,0.9,0.2
qwen,other,self,30,15,4,11,0,30,0.8666666666666667,0.26666666666666666
qwen,self,other,90,44,7,38,1,90,0.9111111111111111,0.15555555555555556
qwen,self,self,30,15,3,12,0,30,0.9,0.2
