domain,item_id,generator,verifier,frame,actual_source,frame_matches_truth,strategy,candidate_is_correct,adjusted_candidate_is_correct,parsed_verdict,formatting_fail,tp,fp,tn,fn,adj_tp,adj_fp,adj_tn,adj_fn,latency,verbosity,dissociated,label_was_right,reasoning_was_right,overrode_passing_tests
math,math_0,qwen,qwen,self,self,True,direct,True,True,True,0,1,0,0,0,1,0,0,0,3.152033799997298,0,0,0,0,0
math,math_0,qwen,qwen,self,self,True,cot,True,True,True,0,1,0,0,0,1,0,0,0,2.9408836999791674,95,0,0,0,0
math,math_0,qwen,qwen,self,self,True,rubric,True,True,True,0,1,0,0,0,1,0,0,0,2.3295643000165,95,0,0,0,0
math,math_0,qwen,qwen,other,self,False,direct,True,True,True,0,1,0,0,0,1,0,0,0,1.992966299992986,0,0,0,0,0
math,math_0,qwen,qwen,other,self,False,cot,True,True,True,0,1,0,0,0,1,0,0,0,2.504440799995791,95,0,0,0,0
math,math_0,qwen,qwen,other,self,False,rubric,True,True,True,0,1,0,0,0,1,0,0,0,2.3370818000112195,95,0,0,0,0
math,math_0,qwen,qwen,neutral,self,,direct,True,True,True,0,1,0,0,0,1,0,0,0,2.243089299998246,0,0,0,0,0
math,math_0,qwen,qwen,neutral,self,,cot,True,True,True,0,1,0,0,0,1,0,0,0,2.768818200012902,95,0,0,0,0
math,math_0,qwen,qwen,neutral,self,,rubric,True,True,True,0,1,0,0,0,1,0,0,0,2.5178205000120215,94,0,0,0,0
math,math_0,deepseek,qwen,self,other,False,direct,True,True,True,0,1,0,0,0,1,0,0,0,1.888788400014164,0,0,0,0,0
math,math_0,deepseek,qwen,self,other,False,cot,True,True,True,0,1,0,0,0,1,0,0,0,1.2113936999812722,95,0,0,0,0
math,math_0,deepseek,qwen,self,other,False,rubric,True,True,True,0,1,0,0,0,1,0,0,0,1.0230429000221193,95,0,0,0,0
math,math_0,deepseek,qwen,other,other,True,direct,True,True,True,0,1,0,0,0,1,0,0,0,0.896157300012419,0,0,0,0,0
math,math_0,deepseek,qwen,other,other,True,cot,True,True,True,0,1,0,0,0,1,0,0,0,1.032086299994262,95,0,0,0,0
math,math_0,deepseek,qwen,other,other,True,rubric,True,True,True,0,1,0,0,0,1,0,0,0,1.2349943000008352,95,0,0,0,0
math,math_0,deepseek,qwen,neutral,other,,direct,True,True,True,0,1,0,0,0,1,0,0,0,0.7733676999923773,0,0,0,0,0
math,math_0,deepseek,qwen,neutral,other,,cot,True,True,True,0,1,0,0,0,1,0,0,0,1.0228779000171926,95,0,0,0,0
math,math_0,deepseek,qwen,neutral,other,,rubric,True,True,True,0,1,0,0,0,1,0,0,0,1.0343162000062875,95,0,0,0,0
math,math_0,llama,qwen,self,other,False,direct,True,True,True,0,1,0,0,0,1,0,0,0,0.8912078999856021,0,0,0,0,0
math,math_0,llama,qwen,self,other,False,cot,True,True,True,0,1,0,0,0,1,0,0,0,1.2318171999941114,95,0,0,0,0
math,math_0,llama,qwen,self,other,False,rubric,True,True,True,0,1,0,0,0,1,0,0,0,0.9296074000012595,95,0,0,0,0
