domain,item_id,generator,verifier,frame,actual_source,frame_matches_truth,strategy,candidate_is_correct,adjusted_candidate_is_correct,parsed_verdict,original_parsed_verdict,verdict_recovered_from_raw,strict_json_parse_fail,candidate_answer_letter,candidate_answer_text,candidate_answer_extraction_mode,candidate_answer_extraction_confidence,candidate_answer_ambiguous,candidate_answer_parsed,candidate_answer_parse_notes,prompt_tokens,completion_tokens,formatting_fail,tp,fp,tn,fn,adj_tp,adj_fp,adj_tn,adj_fn,latency,verbosity,overrode_passing_tests
code,code_HumanEval_52,qwen,qwen,self,self,True,direct,True,True,True,True,0,0,,,,,0,0,,526.0,6.0,0,1,0,0,0,1,0,0,0,4.145866999984719,0,0
code,code_HumanEval_52,qwen,qwen,self,self,True,cot,True,True,True,True,0,0,,,,,0,0,,587.0,60.0,0,1,0,0,0,1,0,0,0,5.534979699994437,254,0
code,code_HumanEval_52,qwen,qwen,self,self,True,rubric,True,True,True,True,0,0,,,,,0,0,,587.0,81.0,0,1,0,0,0,1,0,0,0,5.810926900012419,380,0
code,code_HumanEval_52,qwen,qwen,other,self,False,direct,True,True,True,True,0,0,,,,,0,0,,527.0,6.0,0,1,0,0,0,1,0,0,0,3.0025999000063166,0,0
code,code_HumanEval_52,qwen,qwen,other,self,False,cot,True,True,True,True,0,0,,,,,0,0,,588.0,62.0,0,1,0,0,0,1,0,0,0,4.171884499955922,264,0
code,code_HumanEval_52,qwen,qwen,other,self,False,rubric,True,True,True,True,0,0,,,,,0,0,,588.0,66.0,0,1,0,0,0,1,0,0,0,4.5482728000497445,278,0
code,code_HumanEval_52,qwen,qwen,neutral,self,,direct,True,True,True,True,0,0,,,,,0,0,,525.0,6.0,0,1,0,0,0,1,0,0,0,1.8095911999698728,0,0
code,code_HumanEval_52,qwen,qwen,neutral,self,,cot,True,True,True,True,0,0,,,,,0,0,,586.0,62.0,0,1,0,0,0,1,0,0,0,3.586517999996431,252,0
code,code_HumanEval_52,qwen,qwen,neutral,self,,rubric,True,True,True,True,0,0,,,,,0,0,,586.0,65.0,0,1,0,0,0,1,0,0,0,2.909304999979213,274,0
code,code_HumanEval_52,deepseek,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,541.0,6.0,0,1,0,0,0,1,0,0,0,1.1677945000119507,0,0
code,code_HumanEval_52,deepseek,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,602.0,40.0,0,1,0,0,0,1,0,0,0,4.979579200036824,179,0
code,code_HumanEval_52,deepseek,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,602.0,56.0,0,1,0,0,0,1,0,0,0,4.882044699974358,233,0
code,code_HumanEval_52,deepseek,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,542.0,6.0,0,1,0,0,0,1,0,0,0,3.658091700053774,0,0
code,code_HumanEval_52,deepseek,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,603.0,47.0,0,1,0,0,0,1,0,0,0,3.9290060000494123,192,0
code,code_HumanEval_52,deepseek,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,603.0,47.0,0,1,0,0,0,1,0,0,0,3.830122599960305,201,0
code,code_HumanEval_52,deepseek,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,540.0,6.0,0,1,0,0,0,1,0,0,0,2.215672199963592,0,0
code,code_HumanEval_52,deepseek,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,601.0,40.0,0,1,0,0,0,1,0,0,0,3.3634058000752702,179,0
code,code_HumanEval_52,deepseek,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,601.0,43.0,0,1,0,0,0,1,0,0,0,3.1501716999337077,167,0
code,code_HumanEval_52,llama,qwen,self,other,False,direct,False,False,True,True,0,0,,,,,0,0,,627.0,6.0,0,0,1,0,0,0,1,0,0,1.5629716999828815,0,0
code,code_HumanEval_52,llama,qwen,self,other,False,cot,False,False,False,False,0,0,,,,,0,0,,689.0,62.0,0,0,0,1,0,0,0,1,0,2.4685133999446407,275,0
code,code_HumanEval_52,llama,qwen,self,other,False,rubric,False,False,False,False,0,0,,,,,0,0,,688.0,69.0,0,0,0,1,0,0,0,1,0,5.9183548000874,317,0
code,code_HumanEval_52,llama,qwen,other,other,True,direct,False,False,True,True,0,0,,,,,0,0,,631.0,6.0,0,0,1,0,0,0,1,0,0,3.3371017000172287,0,0
code,code_HumanEval_52,llama,qwen,other,other,True,cot,False,False,False,False,0,0,,,,,0,0,,689.0,66.0,0,0,0,1,0,0,0,1,0,5.238138900022022,286,0
code,code_HumanEval_52,llama,qwen,other,other,True,rubric,False,False,False,False,0,0,,,,,0,0,,690.0,76.0,0,0,0,1,0,0,0,1,0,4.737903099972755,344,0
code,code_HumanEval_52,llama,qwen,neutral,other,,direct,False,False,True,True,0,0,,,,,0,0,,626.0,6.0,0,0,1,0,0,0,1,0,0,2.377954699913971,0,0
code,code_HumanEval_52,llama,qwen,neutral,other,,cot,False,False,False,False,0,0,,,,,0,0,,690.0,58.0,0,0,0,1,0,0,0,1,0,4.099515700014308,272,0
code,code_HumanEval_52,llama,qwen,neutral,other,,rubric,False,False,False,False,0,0,,,,,0,0,,687.0,61.0,0,0,0,1,0,0,0,1,0,3.5061506999190897,262,0
code,code_HumanEval_52,mistral,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,526.0,6.0,0,1,0,0,0,1,0,0,0,1.1669558000285178,0,0
code,code_HumanEval_52,mistral,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,587.0,60.0,0,1,0,0,0,1,0,0,0,3.2089713000459597,254,0
code,code_HumanEval_52,mistral,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,587.0,70.0,0,1,0,0,0,1,0,0,0,4.957977200043388,328,0
code,code_HumanEval_52,mistral,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,527.0,6.0,0,1,0,0,0,1,0,0,0,3.178170899976976,0,0
code,code_HumanEval_52,mistral,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,588.0,62.0,0,1,0,0,0,1,0,0,0,4.224328799988143,264,0
code,code_HumanEval_52,mistral,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,588.0,65.0,0,1,0,0,0,1,0,0,0,5.254224799922667,281,0
code,code_HumanEval_52,mistral,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,525.0,6.0,0,1,0,0,0,1,0,0,0,2.8929047000128776,0,0
code,code_HumanEval_52,mistral,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,586.0,64.0,0,1,0,0,0,1,0,0,0,5.270135700004175,264,0
code,code_HumanEval_52,mistral,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,586.0,65.0,0,1,0,0,0,1,0,0,0,3.180558399995789,281,0
code,code_HumanEval_52,qwen,deepseek,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,531.0,8.0,0,1,0,0,0,1,0,0,0,1.9805532000027597,0,0
code,code_HumanEval_52,qwen,deepseek,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,594.0,67.0,0,1,0,0,0,1,0,0,0,3.774637099937536,296,0
code,code_HumanEval_52,qwen,deepseek,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,593.0,50.0,0,1,0,0,0,1,0,0,0,3.211116799968295,206,0
code,code_HumanEval_52,qwen,deepseek,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,532.0,8.0,0,1,0,0,0,1,0,0,0,1.1445955999661237,0,0
code,code_HumanEval_52,qwen,deepseek,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,595.0,71.0,0,1,0,0,0,1,0,0,0,8.593304799986072,298,0
code,code_HumanEval_52,qwen,deepseek,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,594.0,61.0,0,1,0,0,0,1,0,0,0,4.848312299931422,249,0
code,code_HumanEval_52,qwen,deepseek,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,530.0,8.0,0,1,0,0,0,1,0,0,0,3.6434377999976277,0,0
code,code_HumanEval_52,qwen,deepseek,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,593.0,71.0,0,1,0,0,0,1,0,0,0,4.771189899998717,324,0
code,code_HumanEval_52,qwen,deepseek,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,592.0,60.0,0,1,0,0,0,1,0,0,0,4.16873829998076,257,0
code,code_HumanEval_52,deepseek,deepseek,self,self,True,direct,True,True,True,True,0,0,,,,,0,0,,546.0,8.0,0,1,0,0,0,1,0,0,0,1.914056499954313,0,0
code,code_HumanEval_52,deepseek,deepseek,self,self,True,cot,True,True,True,True,0,0,,,,,0,0,,609.0,47.0,0,1,0,0,0,1,0,0,0,3.277020600042306,162,0
code,code_HumanEval_52,deepseek,deepseek,self,self,True,rubric,True,True,True,True,0,0,,,,,0,0,,608.0,76.0,0,1,0,0,0,1,0,0,0,2.9450205999892205,307,0
code,code_HumanEval_52,deepseek,deepseek,other,self,False,direct,True,True,True,True,0,0,,,,,0,0,,547.0,8.0,0,1,0,0,0,1,0,0,0,1.748967600055039,0,0
code,code_HumanEval_52,deepseek,deepseek,other,self,False,cot,True,True,True,True,0,0,,,,,0,0,,610.0,47.0,0,1,0,0,0,1,0,0,0,2.4293366000056267,176,0
code,code_HumanEval_52,deepseek,deepseek,other,self,False,rubric,True,True,True,True,0,0,,,,,0,0,,609.0,45.0,0,1,0,0,0,1,0,0,0,9.967086200020276,175,0
code,code_HumanEval_52,deepseek,deepseek,neutral,self,,direct,True,True,True,True,0,0,,,,,0,0,,545.0,8.0,0,1,0,0,0,1,0,0,0,8.650038299965672,0,0
code,code_HumanEval_52,deepseek,deepseek,neutral,self,,cot,True,True,True,True,0,0,,,,,0,0,,608.0,49.0,0,1,0,0,0,1,0,0,0,9.19028839992825,209,0
code,code_HumanEval_52,deepseek,deepseek,neutral,self,,rubric,True,True,True,True,0,0,,,,,0,0,,607.0,50.0,0,1,0,0,0,1,0,0,0,8.749262299970724,201,0
code,code_HumanEval_52,llama,deepseek,self,other,False,direct,False,False,False,False,0,0,,,,,0,0,,640.0,8.0,0,0,0,1,0,0,0,1,0,7.376528099994175,0,0
code,code_HumanEval_52,llama,deepseek,self,other,False,cot,False,False,False,False,0,0,,,,,0,0,,703.0,69.0,0,0,0,1,0,0,0,1,0,10.335379400057718,300,0
code,code_HumanEval_52,llama,deepseek,self,other,False,rubric,False,False,False,False,0,0,,,,,0,0,,701.0,43.0,0,0,0,1,0,0,0,1,0,6.309401799924672,174,0
code,code_HumanEval_52,llama,deepseek,other,other,True,direct,False,False,False,False,0,0,,,,,0,0,,641.0,8.0,0,0,0,1,0,0,0,1,0,4.44246359996032,0,0
code,code_HumanEval_52,llama,deepseek,other,other,True,cot,False,False,False,False,0,0,,,,,0,0,,705.0,64.0,0,0,0,1,0,0,0,1,0,5.025611600023694,264,0
code,code_HumanEval_52,llama,deepseek,other,other,True,rubric,False,False,False,False,0,0,,,,,0,0,,702.0,41.0,0,0,0,1,0,0,0,1,0,4.232337399967946,166,0
code,code_HumanEval_52,llama,deepseek,neutral,other,,direct,False,False,False,False,0,0,,,,,0,0,,638.0,8.0,0,0,0,1,0,0,0,1,0,4.392866900074296,0,0
code,code_HumanEval_52,llama,deepseek,neutral,other,,cot,False,False,False,False,0,0,,,,,0,0,,703.0,72.0,0,0,0,1,0,0,0,1,0,6.092862899997272,313,0
code,code_HumanEval_52,llama,deepseek,neutral,other,,rubric,False,False,False,False,0,0,,,,,0,0,,700.0,54.0,0,0,0,1,0,0,0,1,0,5.66142989997752,197,0
code,code_HumanEval_52,mistral,deepseek,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,531.0,8.0,0,1,0,0,0,1,0,0,0,3.2661248999647796,0,0
code,code_HumanEval_52,mistral,deepseek,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,594.0,67.0,0,1,0,0,0,1,0,0,0,4.9997273000190035,309,0
code,code_HumanEval_52,mistral,deepseek,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,593.0,66.0,0,1,0,0,0,1,0,0,0,4.664631100022234,295,0
code,code_HumanEval_52,mistral,deepseek,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,532.0,8.0,0,1,0,0,0,1,0,0,0,2.305993999936618,0,0
code,code_HumanEval_52,mistral,deepseek,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,595.0,62.0,0,1,0,0,0,1,0,0,0,3.191293800016865,274,0
code,code_HumanEval_52,mistral,deepseek,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,594.0,62.0,0,1,0,0,0,1,0,0,0,3.6746625000378117,267,0
code,code_HumanEval_52,mistral,deepseek,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,530.0,8.0,0,1,0,0,0,1,0,0,0,1.2637130001094192,0,0
code,code_HumanEval_52,mistral,deepseek,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,593.0,56.0,0,1,0,0,0,1,0,0,0,4.847345200018026,236,0
code,code_HumanEval_52,mistral,deepseek,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,592.0,58.0,0,1,0,0,0,1,0,0,0,4.476706500048749,241,0
code,code_HumanEval_52,qwen,llama,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,523.0,7.0,0,1,0,0,0,1,0,0,0,7.600956299924292,0,0
code,code_HumanEval_52,qwen,llama,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,584.0,97.0,0,1,0,0,0,1,0,0,0,12.419703199993819,437,0
code,code_HumanEval_52,qwen,llama,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,584.0,47.0,0,1,0,0,0,1,0,0,0,5.976124700042419,204,0
code,code_HumanEval_52,qwen,llama,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,524.0,7.0,0,1,0,0,0,1,0,0,0,3.100797999999486,0,0
code,code_HumanEval_52,qwen,llama,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,585.0,90.0,0,1,0,0,0,1,0,0,0,10.166805700049736,414,0
code,code_HumanEval_52,qwen,llama,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,585.0,49.0,0,1,0,0,0,1,0,0,0,5.239501999923959,212,0
code,code_HumanEval_52,qwen,llama,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,522.0,7.0,0,1,0,0,0,1,0,0,0,3.380964900017716,0,0
code,code_HumanEval_52,qwen,llama,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,583.0,90.0,0,1,0,0,0,1,0,0,0,9.345265800016932,414,0
code,code_HumanEval_52,qwen,llama,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,583.0,47.0,0,1,0,0,0,1,0,0,0,10.925253399997018,204,0
code,code_HumanEval_52,deepseek,llama,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,538.0,7.0,0,1,0,0,0,1,0,0,0,5.291655199951492,0,0
code,code_HumanEval_52,deepseek,llama,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,599.0,75.0,0,1,0,0,0,1,0,0,0,18.264152999967337,338,0
code,code_HumanEval_52,deepseek,llama,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,599.0,73.0,0,1,0,0,0,1,0,0,0,13.72966259997338,328,0
code,code_HumanEval_52,deepseek,llama,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,539.0,7.0,0,1,0,0,0,1,0,0,0,3.303650000016205,0,0
code,code_HumanEval_52,deepseek,llama,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,600.0,75.0,0,1,0,0,0,1,0,0,0,16.40593390003778,338,0
code,code_HumanEval_52,deepseek,llama,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,600.0,74.0,0,1,0,0,0,1,0,0,0,16.000242399983108,321,0
code,code_HumanEval_52,deepseek,llama,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,537.0,7.0,0,1,0,0,0,1,0,0,0,2.0992838999954984,0,0
code,code_HumanEval_52,deepseek,llama,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,598.0,75.0,0,1,0,0,0,1,0,0,0,5.362720999983139,338,0
code,code_HumanEval_52,deepseek,llama,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,598.0,76.0,0,1,0,0,0,1,0,0,0,14.825161300017498,329,0
code,code_HumanEval_52,llama,llama,self,self,True,direct,False,False,True,True,0,0,,,,,0,0,,626.0,7.0,0,0,1,0,0,0,1,0,0,4.653410499915481,0,0
code,code_HumanEval_52,llama,llama,self,self,True,cot,False,False,True,True,0,0,,,,,0,0,,686.0,124.0,0,0,1,0,0,0,1,0,0,8.61070610000752,563,0
code,code_HumanEval_52,llama,llama,self,self,True,rubric,False,False,True,True,0,0,,,,,0,0,,686.0,89.0,0,0,1,0,0,0,1,0,0,7.781058199936524,397,0
code,code_HumanEval_52,llama,llama,other,self,False,direct,False,False,True,True,0,0,,,,,0,0,,627.0,7.0,0,0,1,0,0,0,1,0,0,3.9008147000567988,0,0
code,code_HumanEval_52,llama,llama,other,self,False,cot,False,False,True,True,0,0,,,,,0,0,,688.0,103.0,0,0,1,0,0,0,1,0,0,7.545365600031801,447,0
code,code_HumanEval_52,llama,llama,other,self,False,rubric,False,False,True,True,0,0,,,,,0,0,,688.0,67.0,0,0,1,0,0,0,1,0,0,4.466246400028467,288,0
code,code_HumanEval_52,llama,llama,neutral,self,,direct,False,False,True,True,0,0,,,,,0,0,,623.0,7.0,0,0,1,0,0,0,1,0,0,2.2766809000167996,0,0
code,code_HumanEval_52,llama,llama,neutral,self,,cot,False,False,True,True,0,0,,,,,0,0,,686.0,101.0,0,0,1,0,0,0,1,0,0,5.7752011000411585,440,0
code,code_HumanEval_52,llama,llama,neutral,self,,rubric,False,False,False,False,0,0,,,,,0,0,,687.0,61.0,0,0,0,1,0,0,0,1,0,3.299440799979493,260,0
code,code_HumanEval_52,mistral,llama,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,523.0,7.0,0,1,0,0,0,1,0,0,0,1.3127127999905497,0,0
code,code_HumanEval_52,mistral,llama,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,584.0,82.0,0,1,0,0,0,1,0,0,0,6.289387800032273,379,0
code,code_HumanEval_52,mistral,llama,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,584.0,47.0,0,1,0,0,0,1,0,0,0,4.17900549992919,204,0
code,code_HumanEval_52,mistral,llama,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,524.0,7.0,0,1,0,0,0,1,0,0,0,3.1036541999783367,0,0
code,code_HumanEval_52,mistral,llama,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,585.0,86.0,0,1,0,0,0,1,0,0,0,7.652026299969293,400,0
code,code_HumanEval_52,mistral,llama,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,585.0,47.0,0,1,0,0,0,1,0,0,0,3.5309948000358418,204,0
code,code_HumanEval_52,mistral,llama,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,522.0,7.0,0,1,0,0,0,1,0,0,0,2.3280743999639526,0,0
