verifier,frame,actual_source,Total,TP,FP,TN,FN,Valid,Accuracy,FPR
deepseek,other,other,90,30,23,37,0,90,0.7444444444444445,0.38333333333333336
deepseek,other,self,30,12,14,4,0,30,0.5333333333333333,0.7777777777777778
deepseek,self,other,90,30,16,44,0,90,0.8222222222222222,0.26666666666666666
deepseek,self,self,30,12,10,8,0,30,0.6666666666666666,0.5555555555555556
llama,other,other,90,41,11,37,1,90,0.8666666666666667,0.22916666666666666
llama,other,self,30,0,17,13,0,30,0.43333333333333335,0.5666666666666667
llama,self,other,90,41,6,42,1,90,0.9222222222222223,0.125
llama,self,self,30,0,12,18,0,30,0.6,0.4
mistral,other,other,90,20,9,48,13,90,0.7555555555555555,0.15789473684210525
mistral,other,self,30,7,1,20,2,30,0.9,0.047619047619047616
mistral,self,other,90,23,7,50,10,90,0.8111111111111111,0.12280701754385964
mistral,self,self,30,8,0,21,1,30,0.9666666666666667,0.0
qwen,other,other,90,21,22,47,0,90,0.7555555555555555,0.3188405797101449
qwen,other,self,30,21,5,4,0,30,0.8333333333333334,0.5555555555555556
qwen,self,other,90,21,22,47,0,90,0.7555555555555555,0.3188405797101449
qwen,self,self,30,21,6,3,0,30,0.8,0.6666666666666666
