domain,item_id,generator,verifier,frame,actual_source,frame_matches_truth,strategy,candidate_is_correct,adjusted_candidate_is_correct,parsed_verdict,original_parsed_verdict,verdict_recovered_from_raw,strict_json_parse_fail,candidate_answer_letter,candidate_answer_text,candidate_answer_extraction_mode,candidate_answer_extraction_confidence,candidate_answer_ambiguous,candidate_answer_parsed,candidate_answer_parse_notes,prompt_tokens,completion_tokens,formatting_fail,tp,fp,tn,fn,adj_tp,adj_fp,adj_tn,adj_fn,latency,verbosity,overrode_passing_tests
math,math_0,qwen,qwen,self,self,True,direct,True,True,True,True,0,0,,,,,0,0,,568,6,0,1,0,0,0,1,0,0,0,2.337527207797393,0,0
math,math_0,qwen,qwen,self,self,True,cot,True,True,True,True,0,0,,,,,0,0,,644,37,0,1,0,0,0,1,0,0,0,2.245816667098552,154,0
math,math_0,qwen,qwen,self,self,True,rubric,True,True,True,True,0,0,,,,,0,0,,644,48,0,1,0,0,0,1,0,0,0,4.794671082869172,203,0
math,math_0,qwen,qwen,other,self,False,direct,True,True,True,True,0,0,,,,,0,0,,569,6,0,1,0,0,0,1,0,0,0,1.985401916783303,0,0
math,math_0,qwen,qwen,other,self,False,cot,True,True,True,True,0,0,,,,,0,0,,645,39,0,1,0,0,0,1,0,0,0,4.129494874970987,165,0
math,math_0,qwen,qwen,other,self,False,rubric,True,True,True,True,0,0,,,,,0,0,,645,36,0,1,0,0,0,1,0,0,0,3.057985374936834,145,0
math,math_0,qwen,qwen,neutral,self,,direct,True,True,True,True,0,0,,,,,0,0,,567,6,0,1,0,0,0,1,0,0,0,1.5523308750707656,0,0
math,math_0,qwen,qwen,neutral,self,,cot,True,True,True,True,0,0,,,,,0,0,,643,40,0,1,0,0,0,1,0,0,0,2.198550749802962,181,0
math,math_0,qwen,qwen,neutral,self,,rubric,True,True,True,True,0,0,,,,,0,0,,643,36,0,1,0,0,0,1,0,0,0,3.141802083933726,145,0
math,math_0,deepseek,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,522,6,0,1,0,0,0,1,0,0,0,1.6909986669197679,0,0
math,math_0,deepseek,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,598,51,0,1,0,0,0,1,0,0,0,2.631230792030692,230,0
math,math_0,deepseek,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,598,47,0,1,0,0,0,1,0,0,0,4.101727249799296,197,0
math,math_0,deepseek,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,523,6,0,1,0,0,0,1,0,0,0,0.6342554579023272,0,0
math,math_0,deepseek,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,599,75,0,1,0,0,0,1,0,0,0,3.168935582973063,336,0
math,math_0,deepseek,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,599,53,0,1,0,0,0,1,0,0,0,2.1463637079577893,236,0
math,math_0,deepseek,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,521,6,0,1,0,0,0,1,0,0,0,0.7435567078646272,0,0
math,math_0,deepseek,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,597,71,0,1,0,0,0,1,0,0,0,2.6599965831264853,315,0
math,math_0,deepseek,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,597,45,0,1,0,0,0,1,0,0,0,1.9909213341306895,185,0
math,math_0,llama,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,459,6,0,1,0,0,0,1,0,0,0,0.669842042028904,0,0
math,math_0,llama,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,535,39,0,1,0,0,0,1,0,0,0,1.8085220837965608,161,0
math,math_0,llama,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,535,34,0,1,0,0,0,1,0,0,0,2.2144744580145925,139,0
math,math_0,llama,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,460,6,0,1,0,0,0,1,0,0,0,1.7728127501904964,0,0
math,math_0,llama,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,536,33,0,1,0,0,0,1,0,0,0,1.6371055420022458,130,0
math,math_0,llama,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,536,32,0,1,0,0,0,1,0,0,0,1.4950210419483483,145,0
math,math_0,llama,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,458,6,0,1,0,0,0,1,0,0,0,1.0978393340483308,0,0
math,math_0,llama,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,534,39,0,1,0,0,0,1,0,0,0,1.9251949999015778,161,0
math,math_0,llama,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,534,32,0,1,0,0,0,1,0,0,0,2.3587869580369443,145,0
math,math_0,mistral,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,461,6,0,1,0,0,0,1,0,0,0,1.2005737079307437,0,0
math,math_0,mistral,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,537,56,0,1,0,0,0,1,0,0,0,1.9220401251222938,221,0
math,math_0,mistral,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,537,52,0,1,0,0,0,1,0,0,0,2.173960499931127,221,0
math,math_0,mistral,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,462,6,0,1,0,0,0,1,0,0,0,0.8007792090065777,0,0
math,math_0,mistral,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,538,66,0,1,0,0,0,1,0,0,0,2.455285208998248,283,0
math,math_0,mistral,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,538,50,0,1,0,0,0,1,0,0,0,1.9821647498756647,228,0
math,math_0,mistral,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,460,6,0,1,0,0,0,1,0,0,0,0.7893899579066783,0,0
math,math_0,mistral,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,536,50,0,1,0,0,0,1,0,0,0,2.260277792112902,214,0
math,math_0,mistral,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,536,51,0,1,0,0,0,1,0,0,0,1.9887452081311494,210,0
math,math_0,qwen,deepseek,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,544,8,0,1,0,0,0,1,0,0,0,6.0216624171007425,0,0
math,math_0,qwen,deepseek,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,625,53,0,1,0,0,0,1,0,0,0,8.623391458997503,255,0
math,math_0,qwen,deepseek,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,624,57,0,1,0,0,0,1,0,0,0,8.980373042169958,275,0
math,math_0,qwen,deepseek,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,545,8,0,1,0,0,0,1,0,0,0,6.090846666134894,0,0
math,math_0,qwen,deepseek,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,626,58,0,1,0,0,0,1,0,0,0,6.41714558401145,279,0
