domain,item_id,generator,verifier,frame,actual_source,frame_matches_truth,strategy,candidate_is_correct,adjusted_candidate_is_correct,parsed_verdict,original_parsed_verdict,verdict_recovered_from_raw,strict_json_parse_fail,candidate_answer_letter,candidate_answer_text,candidate_answer_extraction_mode,candidate_answer_extraction_confidence,candidate_answer_ambiguous,candidate_answer_parsed,candidate_answer_parse_notes,prompt_tokens,completion_tokens,formatting_fail,tp,fp,tn,fn,adj_tp,adj_fp,adj_tn,adj_fn,latency,verbosity,overrode_passing_tests
math,math_0,qwen,qwen,self,self,True,direct,True,True,True,True,0,0,,,,,0,0,,568,6,0,1,0,0,0,1,0,0,0,2.782398400013335,0,0
math,math_0,qwen,qwen,self,self,True,cot,True,True,True,True,0,0,,,,,0,0,,615,36,0,1,0,0,0,1,0,0,0,2.715638800058514,145,0
math,math_0,qwen,qwen,self,self,True,rubric,True,True,True,True,0,0,,,,,0,0,,615,36,0,1,0,0,0,1,0,0,0,2.383886899915524,145,0
math,math_0,qwen,qwen,other,self,False,direct,True,True,True,True,0,0,,,,,0,0,,569,6,0,1,0,0,0,1,0,0,0,1.8290730000007898,0,0
math,math_0,qwen,qwen,other,self,False,cot,True,True,True,True,0,0,,,,,0,0,,616,36,0,1,0,0,0,1,0,0,0,2.379924300010316,144,0
math,math_0,qwen,qwen,other,self,False,rubric,True,True,True,True,0,0,,,,,0,0,,616,35,0,1,0,0,0,1,0,0,0,2.6467253000009805,143,0
math,math_0,qwen,qwen,neutral,self,,direct,True,True,True,True,0,0,,,,,0,0,,567,6,0,1,0,0,0,1,0,0,0,1.6748751000268385,0,0
math,math_0,qwen,qwen,neutral,self,,cot,True,True,True,True,0,0,,,,,0,0,,614,36,0,1,0,0,0,1,0,0,0,2.364706499967724,145,0
math,math_0,qwen,qwen,neutral,self,,rubric,True,True,True,True,0,0,,,,,0,0,,614,36,0,1,0,0,0,1,0,0,0,2.690781499957666,145,0
math,math_0,deepseek,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,542,6,0,1,0,0,0,1,0,0,0,1.6935866000130773,0,0
math,math_0,deepseek,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,589,36,0,1,0,0,0,1,0,0,0,1.327469899901189,145,0
math,math_0,deepseek,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,589,35,0,1,0,0,0,1,0,0,0,1.3038573999656364,129,0
math,math_0,deepseek,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,543,6,0,1,0,0,0,1,0,0,0,0.688947599963285,0,0
math,math_0,deepseek,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,590,36,0,1,0,0,0,1,0,0,0,1.815919499960728,145,0
math,math_0,deepseek,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,590,36,0,1,0,0,0,1,0,0,0,1.8102704000193626,145,0
math,math_0,deepseek,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,541,6,0,1,0,0,0,1,0,0,0,0.8405060999793932,0,0
math,math_0,deepseek,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,588,44,0,1,0,0,0,1,0,0,0,1.492322999984026,194,0
math,math_0,deepseek,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,588,36,0,1,0,0,0,1,0,0,0,1.8033238000934944,145,0
math,math_0,llama,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,460,6,0,1,0,0,0,1,0,0,0,0.6696805999381468,0,0
math,math_0,llama,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,507,36,0,1,0,0,0,1,0,0,0,1.7934459999669343,145,0
math,math_0,llama,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,507,36,0,1,0,0,0,1,0,0,0,1.7576831000624225,145,0
math,math_0,llama,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,461,6,0,1,0,0,0,1,0,0,0,1.0153632999863476,0,0
math,math_0,llama,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,508,36,0,1,0,0,0,1,0,0,0,1.7840942000038922,145,0
math,math_0,llama,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,508,36,0,1,0,0,0,1,0,0,0,1.765907800057903,145,0
math,math_0,llama,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,459,6,0,1,0,0,0,1,0,0,0,1.0072062000399455,0,0
math,math_0,llama,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,506,36,0,1,0,0,0,1,0,0,0,1.527698599966243,145,0
math,math_0,llama,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,506,35,0,1,0,0,0,1,0,0,0,1.7241589999757707,139,0
math,math_0,mistral,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,453,6,0,1,0,0,0,1,0,0,0,0.9941252999706194,0,0
math,math_0,mistral,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,500,35,0,1,0,0,0,1,0,0,0,1.720029899966903,141,0
math,math_0,mistral,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,500,36,0,1,0,0,0,1,0,0,0,1.5085046999156475,145,0
math,math_0,mistral,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,454,6,0,1,0,0,0,1,0,0,0,0.668824499938637,0,0
math,math_0,mistral,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,501,35,0,1,0,0,0,1,0,0,0,1.3719379000831395,141,0
math,math_0,mistral,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,501,36,0,1,0,0,0,1,0,0,0,1.5406062999973074,144,0
math,math_0,mistral,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,452,6,0,1,0,0,0,1,0,0,0,0.6878454999532551,0,0
math,math_0,mistral,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,499,35,0,1,0,0,0,1,0,0,0,1.5143677999731153,141,0
math,math_0,mistral,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,499,36,0,1,0,0,0,1,0,0,0,1.5628274000482634,145,0
