verifier,frame,actual_source,Total,TP,FP,TN,FN,Valid,Accuracy,FPR
deepseek,other,other,270,135,21,90,24,270,0.8333333333333334,0.1891891891891892
deepseek,other,self,90,60,15,15,0,90,0.8333333333333334,0.5
deepseek,self,other,270,137,26,85,22,270,0.8222222222222222,0.23423423423423423
deepseek,self,self,90,59,11,19,1,90,0.8666666666666667,0.36666666666666664
llama,other,other,270,145,41,70,14,270,0.7962962962962963,0.36936936936936937
llama,other,self,90,51,9,21,9,90,0.8,0.3
llama,self,other,270,144,37,74,15,270,0.8074074074074075,0.3333333333333333
llama,self,self,90,51,6,24,9,90,0.8333333333333334,0.2
mistral,other,other,270,152,37,59,22,270,0.7814814814814814,0.3854166666666667
mistral,other,self,90,41,20,25,4,90,0.7333333333333333,0.4444444444444444
mistral,self,other,270,149,37,58,25,269,0.7695167286245354,0.3894736842105263
mistral,self,self,90,41,25,20,4,90,0.6777777777777778,0.5555555555555556
qwen,other,other,270,150,32,73,15,270,0.825925925925926,0.3047619047619048
qwen,other,self,90,51,18,18,3,90,0.7666666666666667,0.5
qwen,self,other,270,148,25,80,17,270,0.8444444444444444,0.23809523809523808
qwen,self,self,90,51,18,18,3,90,0.7666666666666667,0.5
