verifier,frame,actual_source,Total,TP,FP,TN,FN,Valid,Accuracy,FPR
deepseek,other,other,90,64,11,13,2,90,0.8555555555555555,0.4583333333333333
deepseek,other,self,30,24,3,3,0,30,0.9,0.5
deepseek,self,other,90,64,8,16,2,90,0.8888888888888888,0.3333333333333333
deepseek,self,self,30,24,3,3,0,30,0.9,0.5
llama,other,other,90,63,16,11,0,90,0.8222222222222222,0.5925925925925926
llama,other,self,30,27,0,3,0,30,1.0,0.0
llama,self,other,90,63,16,11,0,90,0.8222222222222222,0.5925925925925926
llama,self,self,30,27,0,3,0,30,1.0,0.0
mistral,other,other,90,70,10,8,2,90,0.8666666666666667,0.5555555555555556
mistral,other,self,30,17,7,5,1,30,0.7333333333333333,0.5833333333333334
mistral,self,other,90,72,11,7,0,90,0.8777777777777778,0.6111111111111112
mistral,self,self,30,18,10,2,0,30,0.6666666666666666,0.8333333333333334
qwen,other,other,90,69,10,11,0,90,0.8888888888888888,0.47619047619047616
qwen,other,self,30,21,6,3,0,30,0.8,0.6666666666666666
qwen,self,other,90,69,12,9,0,90,0.8666666666666667,0.5714285714285714
qwen,self,self,30,21,5,4,0,30,0.8333333333333334,0.5555555555555556
