verifier,frame,actual_source,Total,TP,FP,TN,FN,Valid,Accuracy,FPR
deepseek,other,other,90,32,8,28,22,90,0.6666666666666666,0.2222222222222222
deepseek,other,self,30,15,6,9,0,30,0.8,0.4
deepseek,self,other,90,35,11,25,19,90,0.6666666666666666,0.3055555555555556
deepseek,self,self,30,15,6,9,0,30,0.8,0.4
llama,other,other,90,41,26,16,7,90,0.6333333333333333,0.6190476190476191
llama,other,self,30,15,3,6,6,30,0.7,0.3333333333333333
llama,self,other,90,39,24,18,9,90,0.6333333333333333,0.5714285714285714
llama,self,self,30,15,1,8,6,30,0.7666666666666667,0.1111111111111111
mistral,other,other,90,50,21,15,4,90,0.7222222222222222,0.5833333333333334
mistral,other,self,30,14,10,5,1,30,0.6333333333333333,0.6666666666666666
mistral,self,other,90,47,24,12,7,90,0.6555555555555556,0.6666666666666666
mistral,self,self,30,13,13,2,2,30,0.5,0.8666666666666667
qwen,other,other,90,36,17,22,15,90,0.6444444444444445,0.4358974358974359
qwen,other,self,30,15,8,4,3,30,0.6333333333333333,0.6666666666666666
qwen,self,other,90,35,12,27,16,90,0.6888888888888889,0.3076923076923077
qwen,self,self,30,15,9,3,3,30,0.6,0.75
