verifier,frame,actual_source,Total,TP,FP,TN,FN,Valid,Accuracy,FPR
deepseek,other,other,1350,674,319,269,88,1350,0.6985185185185185,0.5425170068027211
deepseek,other,self,450,229,144,60,17,450,0.6422222222222222,0.7058823529411765
deepseek,self,other,1350,671,327,261,91,1350,0.6903703703703704,0.5561224489795918
deepseek,self,self,450,229,145,59,17,450,0.64,0.7107843137254902
llama,other,other,1350,659,494,178,19,1350,0.62,0.7351190476190477
llama,other,self,450,318,112,8,12,450,0.7244444444444444,0.9333333333333333
llama,self,other,1350,663,480,192,15,1350,0.6333333333333333,0.7142857142857143
llama,self,self,450,318,110,10,12,450,0.7288888888888889,0.9166666666666666
mistral,other,other,1350,797,461,52,40,1350,0.6288888888888889,0.898635477582846
mistral,other,self,450,167,240,39,4,450,0.4577777777777778,0.8602150537634409
mistral,self,other,1350,805,469,44,32,1350,0.6288888888888889,0.9142300194931774
mistral,self,self,450,167,249,30,4,450,0.43777777777777777,0.8924731182795699
qwen,other,other,1350,696,375,228,51,1350,0.6844444444444444,0.6218905472636815
qwen,other,self,450,253,164,25,8,450,0.6177777777777778,0.8677248677248677
qwen,self,other,1350,700,386,217,47,1350,0.6792592592592592,0.6401326699834162
qwen,self,self,450,254,161,28,7,450,0.6266666666666667,0.8518518518518519
