domain,item_id,generator,verifier,frame,actual_source,frame_matches_truth,strategy,candidate_is_correct,adjusted_candidate_is_correct,parsed_verdict,original_parsed_verdict,verdict_recovered_from_raw,strict_json_parse_fail,candidate_answer_letter,candidate_answer_text,candidate_answer_extraction_mode,candidate_answer_extraction_confidence,candidate_answer_ambiguous,candidate_answer_parsed,candidate_answer_parse_notes,prompt_tokens,completion_tokens,formatting_fail,tp,fp,tn,fn,adj_tp,adj_fp,adj_tn,adj_fn,latency,verbosity,dissociated,label_was_right,reasoning_was_right,overrode_passing_tests
math,math_0,qwen,qwen,self,self,True,direct,True,True,True,True,0,0,,,,,0,0,,568,6,0,1,0,0,0,1,0,0,0,4.710127209080383,0,0,0,0,0
math,math_0,qwen,qwen,self,self,True,cot,True,True,True,True,0,0,,,,,0,0,,644,38,0,1,0,0,0,1,0,0,0,33.83162679197267,150,0,0,0,0
math,math_0,qwen,qwen,self,self,True,rubric,True,True,True,True,0,0,,,,,0,0,,644,36,0,1,0,0,0,1,0,0,0,45.10370083292946,145,0,0,0,0
math,math_0,qwen,qwen,other,self,False,direct,True,True,True,True,0,0,,,,,0,0,,569,6,0,1,0,0,0,1,0,0,0,4.405332542024553,0,0,0,0,0
math,math_0,qwen,qwen,other,self,False,cot,True,True,True,True,0,0,,,,,0,0,,645,43,0,1,0,0,0,1,0,0,0,56.56452945782803,192,0,0,0,0
math,math_0,qwen,qwen,other,self,False,rubric,True,True,True,True,0,0,,,,,0,0,,645,46,0,1,0,0,0,1,0,0,0,43.08438391704112,191,0,0,0,0
math,math_0,qwen,qwen,neutral,self,,direct,True,True,True,True,0,0,,,,,0,0,,567,6,0,1,0,0,0,1,0,0,0,3.727818166837096,0,0,0,0,0
math,math_0,qwen,qwen,neutral,self,,cot,True,True,True,True,0,0,,,,,0,0,,643,39,0,1,0,0,0,1,0,0,0,33.793129541911185,161,0,0,0,0
math,math_0,qwen,qwen,neutral,self,,rubric,True,True,True,True,0,0,,,,,0,0,,643,36,0,1,0,0,0,1,0,0,0,42.70742987492122,145,0,0,0,0
math,math_0,deepseek,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,510,6,0,1,0,0,0,1,0,0,0,6.549618290970102,0,0,0,0,0
math,math_0,deepseek,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,586,53,0,1,0,0,0,1,0,0,0,95.66367454105057,213,0,0,0,0
math,math_0,deepseek,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,586,45,0,1,0,0,0,1,0,0,0,52.415185458026826,185,0,0,0,0
math,math_0,deepseek,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,511,6,0,1,0,0,0,1,0,0,0,20.740738624939695,0,0,0,0,0
math,math_0,deepseek,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,587,50,0,1,0,0,0,1,0,0,0,55.94782029092312,212,0,0,0,0
math,math_0,deepseek,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,587,43,0,1,0,0,0,1,0,0,0,52.409239375032485,175,0,0,0,0
math,math_0,deepseek,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,509,6,0,1,0,0,0,1,0,0,0,20.735315082827583,0,0,0,0,0
math,math_0,deepseek,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,585,53,0,1,0,0,0,1,0,0,0,96.82466766680591,213,0,0,0,0
math,math_0,deepseek,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,585,36,0,1,0,0,0,1,0,0,0,44.08245337498374,145,0,0,0,0
math,math_0,llama,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,459,6,0,1,0,0,0,1,0,0,0,18.87560904212296,0,0,0,0,0
math,math_0,llama,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,535,37,0,1,0,0,0,1,0,0,0,44.2050798330456,154,0,0,0,0
math,math_0,llama,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,535,34,0,1,0,0,0,1,0,0,0,1.7570851249620318,139,0,0,0,0
math,math_0,llama,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,460,6,0,1,0,0,0,1,0,0,0,0.7220809170976281,0,0,0,0,0
math,math_0,llama,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,536,39,0,1,0,0,0,1,0,0,0,2.665695291943848,161,0,0,0,0
math,math_0,llama,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,536,32,0,1,0,0,0,1,0,0,0,2.3562637909781188,145,0,0,0,0
math,math_0,llama,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,458,6,0,1,0,0,0,1,0,0,0,1.696648000041023,0,0,0,0,0
math,math_0,llama,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,534,33,0,1,0,0,0,1,0,0,0,2.5668918748851866,130,0,0,0,0
math,math_0,llama,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,534,33,0,1,0,0,0,1,0,0,0,2.4371857079677284,130,0,0,0,0
math,math_0,mistral,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,480,6,0,1,0,0,0,1,0,0,0,1.5476353329140693,0,0,0,0,0
math,math_0,mistral,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,556,35,0,1,0,0,0,1,0,0,0,2.5652975409757346,149,0,0,0,0
math,math_0,mistral,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,556,34,0,1,0,0,0,1,0,0,0,2.5614620000123978,156,0,0,0,0
math,math_0,mistral,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,481,6,0,1,0,0,0,1,0,0,0,0.9211515421047807,0,0,0,0,0
math,math_0,mistral,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,557,35,0,1,0,0,0,1,0,0,0,1.7008886670228094,149,0,0,0,0
math,math_0,mistral,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,557,34,0,1,0,0,0,1,0,0,0,1.705299540888518,156,0,0,0,0
math,math_0,mistral,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,479,6,0,1,0,0,0,1,0,0,0,0.9144188328646123,0,0,0,0,0
math,math_0,mistral,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,555,47,0,1,0,0,0,1,0,0,0,2.057651292067021,203,0,0,0,0
math,math_0,mistral,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,555,32,0,1,0,0,0,1,0,0,0,1.638063875027001,145,0,0,0,0
math,math_0,qwen,deepseek,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,544,8,0,1,0,0,0,1,0,0,0,68.43973129219376,0,0,0,0,0
math,math_0,qwen,deepseek,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,625,57,0,1,0,0,0,1,0,0,0,70.50781762506813,275,0,0,0,0
math,math_0,qwen,deepseek,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,624,57,0,1,0,0,0,1,0,0,0,70.45794062502682,275,0,0,0,0
math,math_0,qwen,deepseek,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,545,8,0,1,0,0,0,1,0,0,0,68.06131120910868,0,0,0,0,0
math,math_0,qwen,deepseek,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,626,44,0,1,0,0,0,1,0,0,0,6.435874457936734,194,1,1,0,0
math,math_0,qwen,deepseek,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,625,38,0,1,0,0,0,1,0,0,0,6.0289213340729475,172,0,0,0,0
math,math_0,qwen,deepseek,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,543,8,0,1,0,0,0,1,0,0,0,3.8136252500116825,0,0,0,0,0
math,math_0,qwen,deepseek,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,624,44,0,1,0,0,0,1,0,0,0,6.4475555419921875,194,1,1,0,0
math,math_0,qwen,deepseek,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,623,42,0,1,0,0,0,1,0,0,0,6.433798749931157,183,0,0,0,0
