verifier,frame,actual_source,Total,TP,FP,TN,FN,Valid,Accuracy,FPR
deepseek,other,other,90,66,4,20,0,90,0.9555555555555556,0.16666666666666666
deepseek,other,self,30,24,3,3,0,30,0.9,0.5
deepseek,self,other,90,64,6,18,2,90,0.9111111111111111,0.25
deepseek,self,self,30,24,3,3,0,30,0.9,0.5
llama,other,other,90,63,10,17,0,90,0.8888888888888888,0.37037037037037035
llama,other,self,30,27,1,2,0,30,0.9666666666666667,0.3333333333333333
llama,self,other,90,63,10,17,0,90,0.8888888888888888,0.37037037037037035
llama,self,self,30,27,1,2,0,30,0.9666666666666667,0.3333333333333333
mistral,other,other,90,69,11,7,3,90,0.8444444444444444,0.6111111111111112
mistral,other,self,30,18,10,2,0,30,0.6666666666666666,0.8333333333333334
mistral,self,other,90,69,11,7,3,90,0.8444444444444444,0.6111111111111112
mistral,self,self,30,18,11,1,0,30,0.6333333333333333,0.9166666666666666
qwen,other,other,90,69,6,15,0,90,0.9333333333333333,0.2857142857142857
qwen,other,self,30,21,6,3,0,30,0.8,0.6666666666666666
qwen,self,other,90,69,6,15,0,90,0.9333333333333333,0.2857142857142857
qwen,self,self,30,21,6,3,0,30,0.8,0.6666666666666666
