domain,item_id,generator,verifier,frame,actual_source,frame_matches_truth,strategy,candidate_is_correct,adjusted_candidate_is_correct,parsed_verdict,original_parsed_verdict,verdict_recovered_from_raw,strict_json_parse_fail,candidate_answer_letter,candidate_answer_text,candidate_answer_extraction_mode,candidate_answer_extraction_confidence,candidate_answer_ambiguous,candidate_answer_parsed,candidate_answer_parse_notes,prompt_tokens,completion_tokens,formatting_fail,tp,fp,tn,fn,adj_tp,adj_fp,adj_tn,adj_fn,latency,verbosity,dissociated,label_was_right,reasoning_was_right,overrode_passing_tests
math,math_0,qwen,qwen,self,self,True,direct,True,True,True,True,0,0,,,,,0,0,,568,6,0,1,0,0,0,1,0,0,0,2.337527207797393,0,0,0,0,0
math,math_0,qwen,qwen,self,self,True,cot,True,True,True,True,0,0,,,,,0,0,,644,37,0,1,0,0,0,1,0,0,0,2.245816667098552,154,0,0,0,0
math,math_0,qwen,qwen,self,self,True,rubric,True,True,True,True,0,0,,,,,0,0,,644,48,0,1,0,0,0,1,0,0,0,4.794671082869172,203,0,0,0,0
math,math_0,qwen,qwen,other,self,False,direct,True,True,True,True,0,0,,,,,0,0,,569,6,0,1,0,0,0,1,0,0,0,1.985401916783303,0,0,0,0,0
math,math_0,qwen,qwen,other,self,False,cot,True,True,True,True,0,0,,,,,0,0,,645,39,0,1,0,0,0,1,0,0,0,4.129494874970987,165,0,0,0,0
math,math_0,qwen,qwen,other,self,False,rubric,True,True,True,True,0,0,,,,,0,0,,645,36,0,1,0,0,0,1,0,0,0,3.057985374936834,145,0,0,0,0
math,math_0,qwen,qwen,neutral,self,,direct,True,True,True,True,0,0,,,,,0,0,,567,6,0,1,0,0,0,1,0,0,0,1.5523308750707656,0,0,0,0,0
math,math_0,qwen,qwen,neutral,self,,cot,True,True,True,True,0,0,,,,,0,0,,643,40,0,1,0,0,0,1,0,0,0,2.198550749802962,181,0,0,0,0
math,math_0,qwen,qwen,neutral,self,,rubric,True,True,True,True,0,0,,,,,0,0,,643,36,0,1,0,0,0,1,0,0,0,3.141802083933726,145,0,0,0,0
math,math_0,deepseek,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,522,6,0,1,0,0,0,1,0,0,0,1.6909986669197679,0,0,0,0,0
