domain,item_id,generator,verifier,frame,actual_source,frame_matches_truth,strategy,candidate_is_correct,adjusted_candidate_is_correct,parsed_verdict,original_parsed_verdict,verdict_recovered_from_raw,strict_json_parse_fail,candidate_answer_letter,candidate_answer_text,candidate_answer_extraction_mode,candidate_answer_extraction_confidence,candidate_answer_ambiguous,candidate_answer_parsed,candidate_answer_parse_notes,prompt_tokens,completion_tokens,formatting_fail,tp,fp,tn,fn,adj_tp,adj_fp,adj_tn,adj_fn,latency,verbosity,overrode_passing_tests
code,code_HumanEval_52,qwen,qwen,self,self,True,direct,True,True,True,True,0,0,,,,,0,0,,526,6,0,1,0,0,0,1,0,0,0,5.8500189000042155,0,0
code,code_HumanEval_52,qwen,qwen,self,self,True,cot,True,True,True,True,0,0,,,,,0,0,,587,62,0,1,0,0,0,1,0,0,0,5.472949699964374,266,0
code,code_HumanEval_52,qwen,qwen,self,self,True,rubric,True,True,True,True,0,0,,,,,0,0,,587,71,0,1,0,0,0,1,0,0,0,5.26340210007038,322,0
code,code_HumanEval_52,qwen,qwen,other,self,False,direct,True,True,True,True,0,0,,,,,0,0,,527,6,0,1,0,0,0,1,0,0,0,3.221308600041084,0,0
code,code_HumanEval_52,qwen,qwen,other,self,False,cot,True,True,True,True,0,0,,,,,0,0,,588,62,0,1,0,0,0,1,0,0,0,4.574553700047545,264,0
code,code_HumanEval_52,qwen,qwen,other,self,False,rubric,True,True,True,True,0,0,,,,,0,0,,588,66,0,1,0,0,0,1,0,0,0,4.329036100069061,282,0
code,code_HumanEval_52,qwen,qwen,neutral,self,,direct,True,True,True,True,0,0,,,,,0,0,,525,6,0,1,0,0,0,1,0,0,0,2.3211554000154138,0,0
code,code_HumanEval_52,qwen,qwen,neutral,self,,cot,True,True,True,True,0,0,,,,,0,0,,586,64,0,1,0,0,0,1,0,0,0,4.062016999931075,264,0
code,code_HumanEval_52,qwen,qwen,neutral,self,,rubric,True,True,True,True,0,0,,,,,0,0,,586,71,0,1,0,0,0,1,0,0,0,3.9051924000959843,329,0
code,code_HumanEval_52,deepseek,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,541,6,0,1,0,0,0,1,0,0,0,1.3893362000817433,0,0
code,code_HumanEval_52,deepseek,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,602,44,0,1,0,0,0,1,0,0,0,4.370818100054748,168,0
code,code_HumanEval_52,deepseek,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,602,43,0,1,0,0,0,1,0,0,0,3.981789999990724,167,0
code,code_HumanEval_52,deepseek,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,542,6,0,1,0,0,0,1,0,0,0,2.921375299920328,0,0
code,code_HumanEval_52,deepseek,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,603,47,0,1,0,0,0,1,0,0,0,3.5565523999975994,192,0
code,code_HumanEval_52,deepseek,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,603,67,0,1,0,0,0,1,0,0,0,3.832399499951862,298,0
code,code_HumanEval_52,deepseek,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,540,6,0,1,0,0,0,1,0,0,0,1.8075641999021173,0,0
code,code_HumanEval_52,deepseek,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,601,52,0,1,0,0,0,1,0,0,0,3.160835099988617,223,0
code,code_HumanEval_52,deepseek,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,601,43,0,1,0,0,0,1,0,0,0,2.356326000066474,167,0
code,code_HumanEval_52,llama,qwen,self,other,False,direct,False,False,True,True,0,0,,,,,0,0,,629,6,0,0,1,0,0,0,1,0,0,1.323771300027147,0,0
code,code_HumanEval_52,llama,qwen,self,other,False,cot,False,False,False,False,0,0,,,,,0,0,,691,69,0,0,0,1,0,0,0,1,0,2.8247356000356376,317,0
code,code_HumanEval_52,llama,qwen,self,other,False,rubric,False,False,False,False,0,0,,,,,0,0,,688,64,0,0,0,1,0,0,0,1,0,5.0017645000480115,287,0
code,code_HumanEval_52,llama,qwen,other,other,True,direct,False,False,True,True,0,0,,,,,0,0,,630,6,0,0,1,0,0,0,1,0,0,3.069262799923308,0,0
code,code_HumanEval_52,llama,qwen,other,other,True,cot,False,False,False,False,0,0,,,,,0,0,,690,59,0,0,0,1,0,0,0,1,0,4.313132399925962,264,0
code,code_HumanEval_52,llama,qwen,other,other,True,rubric,False,False,False,False,0,0,,,,,0,0,,690,67,0,0,0,1,0,0,0,1,0,4.2679169999901205,306,0
code,code_HumanEval_52,llama,qwen,neutral,other,,direct,False,False,True,True,0,0,,,,,0,0,,626,6,0,0,1,0,0,0,1,0,0,2.243160799960606,0,0
code,code_HumanEval_52,llama,qwen,neutral,other,,cot,False,False,False,False,0,0,,,,,0,0,,689,80,0,0,0,1,0,0,0,1,0,4.074817099957727,363,0
code,code_HumanEval_52,llama,qwen,neutral,other,,rubric,False,False,False,False,0,0,,,,,0,0,,689,63,0,0,0,1,0,0,0,1,0,4.40418710000813,281,0
code,code_HumanEval_52,mistral,qwen,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,526,6,0,1,0,0,0,1,0,0,0,1.3586400999920443,0,0
code,code_HumanEval_52,mistral,qwen,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,587,60,0,1,0,0,0,1,0,0,0,2.6172897999640554,254,0
code,code_HumanEval_52,mistral,qwen,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,587,71,0,1,0,0,0,1,0,0,0,2.6772130000172183,325,0
code,code_HumanEval_52,mistral,qwen,other,other,True,direct,True,True,True,True,0,0,,,,,0,0,,527,6,0,1,0,0,0,1,0,0,0,4.44038000004366,0,0
code,code_HumanEval_52,mistral,qwen,other,other,True,cot,True,True,True,True,0,0,,,,,0,0,,588,64,0,1,0,0,0,1,0,0,0,6.124656199943274,264,0
code,code_HumanEval_52,mistral,qwen,other,other,True,rubric,True,True,True,True,0,0,,,,,0,0,,588,66,0,1,0,0,0,1,0,0,0,6.326176400063559,282,0
code,code_HumanEval_52,mistral,qwen,neutral,other,,direct,True,True,True,True,0,0,,,,,0,0,,525,6,0,1,0,0,0,1,0,0,0,3.2591380999656394,0,0
code,code_HumanEval_52,mistral,qwen,neutral,other,,cot,True,True,True,True,0,0,,,,,0,0,,586,62,0,1,0,0,0,1,0,0,0,4.761710999999195,264,0
code,code_HumanEval_52,mistral,qwen,neutral,other,,rubric,True,True,True,True,0,0,,,,,0,0,,586,66,0,1,0,0,0,1,0,0,0,4.956028399989009,290,0
code,code_HumanEval_52,qwen,deepseek,self,other,False,direct,True,True,True,True,0,0,,,,,0,0,,531,8,0,1,0,0,0,1,0,0,0,2.692762800026685,0,0
code,code_HumanEval_52,qwen,deepseek,self,other,False,cot,True,True,True,True,0,0,,,,,0,0,,594,69,0,1,0,0,0,1,0,0,0,2.617526200017892,293,0
code,code_HumanEval_52,qwen,deepseek,self,other,False,rubric,True,True,True,True,0,0,,,,,0,0,,593,56,0,1,0,0,0,1,0,0,0,2.0397383000236005,248,0
