verifier,frame,actual_source,Total,TP,FP,TN,FN,Valid,Accuracy,FPR
deepseek,other,other,1350,331,245,541,233,1350,0.6459259259259259,0.31170483460559795
deepseek,other,self,450,188,122,97,43,450,0.6333333333333333,0.5570776255707762
deepseek,self,other,1350,339,257,529,225,1350,0.642962962962963,0.32697201017811706
deepseek,self,self,450,185,126,93,46,450,0.6177777777777778,0.5753424657534246
llama,other,other,1350,464,425,322,139,1350,0.5822222222222222,0.5689424364123159
llama,other,self,450,156,159,99,36,450,0.5666666666666667,0.6162790697674418
llama,self,other,1350,440,388,359,163,1350,0.5918518518518519,0.5194109772423026
llama,self,self,450,152,138,120,40,450,0.6044444444444445,0.5348837209302325
mistral,other,other,1350,561,577,131,81,1350,0.5125925925925926,0.8149717514124294
mistral,other,self,450,126,228,69,27,450,0.43333333333333335,0.7676767676767676
mistral,self,other,1350,578,579,129,64,1350,0.5237037037037037,0.8177966101694916
mistral,self,self,450,135,235,62,18,450,0.43777777777777777,0.7912457912457912
qwen,other,other,1350,436,399,375,140,1350,0.6007407407407407,0.5155038759689923
qwen,other,self,450,169,163,68,50,450,0.5266666666666666,0.7056277056277056
qwen,self,other,1350,430,403,371,146,1350,0.5933333333333334,0.520671834625323
qwen,self,self,450,164,170,61,55,450,0.5,0.7359307359307359
