verifier,frame,strategy,Total,TP,FP,TN,FN,Formatting_Fails,Candidate_Parsed,Candidate_Ambiguous,Avg_Latency,Avg_Verbosity,Valid_Total,Accuracy,FPR,FNR,Candidate_Parse_Rate,Candidate_Ambiguous_Rate
deepseek,neutral,cot,40,16,4,13,7,0,40,0,2.868924915001844,335.55,40,0.725,0.23529411764705882,0.30434782608695654,1.0,0.0
deepseek,neutral,direct,40,18,4,13,5,0,40,0,1.1757118325011107,0.0,40,0.775,0.23529411764705882,0.21739130434782608,1.0,0.0
deepseek,neutral,rubric,40,14,5,12,9,0,40,0,2.5165657524979905,291.725,40,0.65,0.29411764705882354,0.391304347826087,1.0,0.0
deepseek,other,cot,40,14,5,12,9,0,40,0,2.8346270325011576,341.0,40,0.65,0.29411764705882354,0.391304347826087,1.0,0.0
deepseek,other,direct,40,19,5,12,4,0,40,0,1.2515615200012689,0.0,40,0.775,0.29411764705882354,0.17391304347826086,1.0,0.0
deepseek,other,rubric,40,14,4,13,9,0,40,0,2.5833633275033208,292.725,40,0.675,0.23529411764705882,0.391304347826087,1.0,0.0
deepseek,self,cot,40,15,7,10,8,0,40,0,2.880890690005617,344.975,40,0.625,0.4117647058823529,0.34782608695652173,1.0,0.0
deepseek,self,direct,40,19,5,12,4,0,40,0,1.2674699449969922,0.0,40,0.775,0.29411764705882354,0.17391304347826086,1.0,0.0
deepseek,self,rubric,40,16,5,12,7,0,40,0,2.65300717499631,271.325,40,0.7,0.29411764705882354,0.30434782608695654,1.0,0.0
llama,neutral,cot,40,19,10,7,4,0,40,0,6.418053025001427,451.425,40,0.65,0.5882352941176471,0.17391304347826086,1.0,0.0
llama,neutral,direct,40,19,13,4,4,0,40,0,1.333953297502012,0.0,40,0.575,0.7647058823529411,0.17391304347826086,1.0,0.0
llama,neutral,rubric,40,18,9,8,5,0,40,0,5.3752827075048115,277.125,40,0.65,0.5294117647058824,0.21739130434782608,1.0,0.0
llama,other,cot,40,18,9,8,5,0,40,0,5.808260382490698,439.6,40,0.65,0.5294117647058824,0.21739130434782608,1.0,0.0
llama,other,direct,40,19,11,6,4,0,40,0,1.5317944149981486,0.0,40,0.625,0.6470588235294118,0.17391304347826086,1.0,0.0
llama,other,rubric,40,19,9,8,4,0,40,0,5.040714857500279,272.05,40,0.675,0.5294117647058824,0.17391304347826086,1.0,0.0
llama,self,cot,40,18,8,9,5,0,40,0,7.456023199990159,448.85,40,0.675,0.47058823529411764,0.21739130434782608,1.0,0.0
llama,self,direct,40,19,10,7,4,0,40,0,1.6624542699893936,0.0,40,0.65,0.5882352941176471,0.17391304347826086,1.0,0.0
llama,self,rubric,40,17,7,10,6,0,40,0,5.373820740001975,268.15,40,0.675,0.4117647058823529,0.2608695652173913,1.0,0.0
mistral,neutral,cot,40,22,11,6,1,0,40,0,2.916841494999244,308.025,40,0.7,0.6470588235294118,0.043478260869565216,1.0,0.0
mistral,neutral,direct,40,21,14,3,2,0,40,0,1.524009017503704,0.0,40,0.6,0.8235294117647058,0.08695652173913043,1.0,0.0
mistral,neutral,rubric,40,18,10,7,5,0,40,0,3.141615899998578,288.7,40,0.625,0.5882352941176471,0.21739130434782608,1.0,0.0
mistral,other,cot,40,20,7,10,3,0,40,0,3.6620240924938114,322.3,40,0.75,0.4117647058823529,0.13043478260869565,1.0,0.0
mistral,other,direct,40,23,15,2,0,0,40,0,1.510692890000064,0.0,40,0.625,0.8823529411764706,0.0,1.0,0.0
mistral,other,rubric,40,21,9,8,2,0,40,0,3.170690852514235,274.0,40,0.725,0.5294117647058824,0.08695652173913043,1.0,0.0
mistral,self,cot,40,22,12,5,1,0,40,0,3.224920577512239,320.35,40,0.675,0.7058823529411765,0.043478260869565216,1.0,0.0
mistral,self,direct,40,20,15,2,3,0,40,0,1.6965398575091968,0.0,40,0.55,0.8823529411764706,0.13043478260869565,1.0,0.0
mistral,self,rubric,40,18,10,7,5,0,40,0,2.8851653649937363,267.7,40,0.625,0.5882352941176471,0.21739130434782608,1.0,0.0
qwen,neutral,cot,40,18,8,9,5,0,40,0,2.6170237275073305,314.925,40,0.675,0.47058823529411764,0.21739130434782608,1.0,0.0
qwen,neutral,direct,40,17,10,7,6,0,40,0,1.0233410374989034,0.0,40,0.6,0.5882352941176471,0.2608695652173913,1.0,0.0
qwen,neutral,rubric,40,16,7,10,7,0,40,0,2.5840264024969657,275.825,40,0.65,0.4117647058823529,0.30434782608695654,1.0,0.0
qwen,other,cot,40,17,8,9,6,0,40,0,2.7632882225094364,304.275,40,0.65,0.47058823529411764,0.2608695652173913,1.0,0.0
qwen,other,direct,40,17,9,8,6,0,40,0,1.0971503050037428,0.0,40,0.625,0.5294117647058824,0.2608695652173913,1.0,0.0
qwen,other,rubric,40,17,8,9,6,0,40,0,2.7924859274906337,288.075,40,0.65,0.47058823529411764,0.2608695652173913,1.0,0.0
qwen,self,cot,40,17,7,10,6,0,40,0,2.6733706699917095,296.0,40,0.675,0.4117647058823529,0.2608695652173913,1.0,0.0
qwen,self,direct,40,17,8,9,6,0,40,0,1.1934763175057015,0.0,40,0.65,0.47058823529411764,0.2608695652173913,1.0,0.0
qwen,self,rubric,40,16,6,11,7,0,40,0,2.372225600006641,275.65,40,0.675,0.35294117647058826,0.30434782608695654,1.0,0.0
