verifier,frame,strategy,Total,TP,FP,TN,FN,Formatting_Fails,Candidate_Parsed,Candidate_Ambiguous,Avg_Latency,Avg_Verbosity,Dissociated,Valid_Total,Accuracy,FPR,FNR,Candidate_Parse_Rate,Candidate_Ambiguous_Rate,Dissociation_Rate
deepseek,neutral,cot,600,166,117,218,99,0,599,1,10.279626727166955,336.09166666666664,105,600,0.64,0.3492537313432836,0.37358490566037733,0.9983333333333333,0.0016666666666666668,0.175
deepseek,neutral,direct,600,179,140,195,86,0,599,1,4.05807339833329,0.0,0,600,0.6233333333333333,0.417910447761194,0.32452830188679244,0.9983333333333333,0.0016666666666666668,0.0
deepseek,neutral,rubric,600,160,117,218,105,0,599,1,9.163846401500074,283.7783333333333,118,600,0.63,0.3492537313432836,0.39622641509433965,0.9983333333333333,0.0016666666666666668,0.19666666666666666
deepseek,other,cot,600,172,112,223,93,0,599,1,10.049211765500223,335.28833333333336,120,600,0.6583333333333333,0.33432835820895523,0.35094339622641507,0.9983333333333333,0.0016666666666666668,0.2
deepseek,other,direct,600,183,139,196,82,0,599,1,4.068842805333406,0.0,0,600,0.6316666666666667,0.41492537313432837,0.30943396226415093,0.9983333333333333,0.0016666666666666668,0.0
deepseek,other,rubric,600,164,116,219,101,0,599,1,9.072214559166799,283.47333333333336,114,600,0.6383333333333333,0.34626865671641793,0.38113207547169814,0.9983333333333333,0.0016666666666666668,0.19
deepseek,self,cot,600,173,122,213,92,0,599,1,10.141592242333282,335.49,107,600,0.6433333333333333,0.3641791044776119,0.3471698113207547,0.9983333333333333,0.0016666666666666668,0.17833333333333334
deepseek,self,direct,600,187,140,195,78,0,599,1,4.108572166500187,0.0,0,600,0.6366666666666667,0.417910447761194,0.2943396226415094,0.9983333333333333,0.0016666666666666668,0.0
deepseek,self,rubric,600,164,121,214,101,0,599,1,9.054836071666893,280.0233333333333,111,600,0.63,0.3611940298507463,0.38113207547169814,0.9983333333333333,0.0016666666666666668,0.185
llama,neutral,cot,600,202,186,149,63,0,599,1,8.555330707333415,471.39666666666665,110,600,0.585,0.5552238805970149,0.23773584905660378,0.9983333333333333,0.0016666666666666668,0.18333333333333332
llama,neutral,direct,600,213,213,122,52,0,599,1,2.355739435833384,0.0,0,600,0.5583333333333333,0.6358208955223881,0.19622641509433963,0.9983333333333333,0.0016666666666666668,0.0
llama,neutral,rubric,600,198,189,146,67,0,599,1,6.186236780166873,292.725,88,600,0.5733333333333334,0.564179104477612,0.2528301886792453,0.9983333333333333,0.0016666666666666668,0.14666666666666667
llama,other,cot,600,209,190,145,56,0,599,1,8.109031439332927,463.3,106,600,0.59,0.5671641791044776,0.21132075471698114,0.9983333333333333,0.0016666666666666668,0.17666666666666667
llama,other,direct,600,209,207,128,56,0,599,1,2.1562962985000924,0.0,0,600,0.5616666666666666,0.6179104477611941,0.21132075471698114,0.9983333333333333,0.0016666666666666668,0.0
llama,other,rubric,600,202,187,148,63,0,599,1,6.329815563333323,286.99,83,600,0.5833333333333334,0.5582089552238806,0.23773584905660378,0.9983333333333333,0.0016666666666666668,0.13833333333333334
llama,self,cot,600,198,168,167,67,0,599,1,8.428417792666684,473.04,136,600,0.6083333333333333,0.5014925373134328,0.2528301886792453,0.9983333333333333,0.0016666666666666668,0.22666666666666666
llama,self,direct,600,205,196,139,60,0,599,1,2.2164220733338396,0.0,0,600,0.5733333333333334,0.5850746268656717,0.22641509433962265,0.9983333333333333,0.0016666666666666668,0.0
llama,self,rubric,600,189,162,173,76,0,599,1,6.193194140499715,294.74666666666667,112,600,0.6033333333333334,0.4835820895522388,0.28679245283018867,0.9983333333333333,0.0016666666666666668,0.18666666666666668
mistral,neutral,cot,600,232,272,63,33,0,599,1,3.8396350891666224,293.47,36,600,0.49166666666666664,0.8119402985074626,0.12452830188679245,0.9983333333333333,0.0016666666666666668,0.06
mistral,neutral,direct,600,253,310,25,12,0,599,1,2.4196775443334144,0.0,0,600,0.4633333333333333,0.9253731343283582,0.045283018867924525,0.9983333333333333,0.0016666666666666668,0.0
mistral,neutral,rubric,600,221,251,84,44,0,599,1,3.6362828448332585,262.6066666666667,46,600,0.5083333333333333,0.7492537313432835,0.1660377358490566,0.9983333333333333,0.0016666666666666668,0.07666666666666666
mistral,other,cot,600,226,259,76,39,0,599,1,3.9113103751665768,297.355,28,600,0.5033333333333333,0.7731343283582089,0.1471698113207547,0.9983333333333333,0.0016666666666666668,0.04666666666666667
mistral,other,direct,600,255,310,25,10,0,599,1,2.6144698316662107,0.0,0,600,0.4666666666666667,0.9253731343283582,0.03773584905660377,0.9983333333333333,0.0016666666666666668,0.0
mistral,other,rubric,600,206,236,99,59,0,599,1,3.7890291426666467,266.1716666666667,52,600,0.5083333333333333,0.7044776119402985,0.22264150943396227,0.9983333333333333,0.0016666666666666668,0.08666666666666667
mistral,self,cot,600,233,261,74,32,0,599,1,3.967593416166613,300.41,26,600,0.5116666666666667,0.7791044776119403,0.12075471698113208,0.9983333333333333,0.0016666666666666668,0.043333333333333335
mistral,self,direct,600,254,310,25,11,0,599,1,2.528198911333602,0.0,0,600,0.465,0.9253731343283582,0.04150943396226415,0.9983333333333333,0.0016666666666666668,0.0
mistral,self,rubric,600,226,243,92,39,0,599,1,3.7572803098335132,267.495,41,600,0.53,0.7253731343283583,0.1471698113207547,0.9983333333333333,0.0016666666666666668,0.06833333333333333
qwen,neutral,cot,600,207,203,132,58,0,599,1,3.541910351999783,301.83166666666665,85,600,0.565,0.6059701492537314,0.2188679245283019,0.9983333333333333,0.0016666666666666668,0.14166666666666666
qwen,neutral,direct,600,198,199,136,67,0,599,1,1.7665483868339409,0.0,0,600,0.5566666666666666,0.5940298507462687,0.2528301886792453,0.9983333333333333,0.0016666666666666668,0.0
qwen,neutral,rubric,600,210,190,145,55,0,599,1,3.370912888999786,274.18666666666667,113,600,0.5916666666666667,0.5671641791044776,0.20754716981132076,0.9983333333333333,0.0016666666666666668,0.18833333333333332
qwen,other,cot,600,205,186,149,60,0,599,1,3.557910663667038,310.235,96,600,0.59,0.5552238805970149,0.22641509433962265,0.9983333333333333,0.0016666666666666668,0.16
qwen,other,direct,600,197,193,142,68,0,599,1,1.6848280238334217,0.0,0,600,0.565,0.5761194029850746,0.25660377358490566,0.9983333333333333,0.0016666666666666668,0.0
qwen,other,rubric,600,203,183,152,62,0,599,1,3.2370649546668333,281.0783333333333,106,600,0.5916666666666667,0.5462686567164179,0.2339622641509434,0.9983333333333333,0.0016666666666666668,0.17666666666666667
qwen,self,cot,600,200,193,142,65,0,599,1,3.553714932666747,310.53,92,600,0.57,0.5761194029850746,0.24528301886792453,0.9983333333333333,0.0016666666666666668,0.15333333333333332
qwen,self,direct,600,196,190,145,69,0,599,1,1.5945036901667966,0.0,0,600,0.5683333333333334,0.5671641791044776,0.26037735849056604,0.9983333333333333,0.0016666666666666668,0.0
qwen,self,rubric,600,198,190,145,67,0,599,1,3.435297794333334,280.36833333333334,111,600,0.5716666666666667,0.5671641791044776,0.2528301886792453,0.9983333333333333,0.0016666666666666668,0.185
